Sign ,Latitude ,Longitude ,Altitude (m) ,Species 
Spraint ,27.017639,92.643846,148,Lutra Lutra 
Spraint ,27.017746,92.64451,147,Lutra Lutra 
Spraint ,27.018255,92.645985,150,Lutra Lutra 
Defecating Area ,27.018387,92.646279,151,Lutra Lutra 
Paw print ,27.033835,92.612924,156,Lutra Lutra 
Paw print ,27.033703,92.61309,157,Lutra Lutra 
Defecating Area ,27.033391,92.61343,155,Lutra Lutra 
Paw print ,27.033182,92.614131,154,Lutra Lutra 
Spraint ,27.032795,92.615637,162,Lutra Lutra 
Defecating Area ,27.033017,92.615515,168,Lutra Lutra 
Defecating Area ,27.03016,92.62274,153,Lutra Lutra 
Paw print ,27.030083,92.622889,155,Lutra Lutra 
Defecating Area ,27.029005,92.623771,159,Lutra Lutra 
Defecating Area ,27.028865,92.623942,158,Lutra Lutra 
Spraint ,27.027859,92.625217,153,Lutra Lutra 
Defecating Area ,27.027729,92.625362,151,Lutra Lutra 
Defecating Area ,27.028325,92.629101,150,Lutra Lutra 
Defecating Area ,27.02854,92.629251,150,Lutra Lutra 
Defecating Area ,27.029847,92.630203,177,Lutra Lutra 
Spraint ,27.031504,92.630074,203,Lutra Lutra 
Defecating Area ,27.031707,92.62998,200,Lutra Lutra 
Defecating Area ,27.027939,92.628569,153,Lutra Lutra 
Defecating Area ,27.032226,92.629259,203,Aonyx Cinereus 
Spraint ,27.032417,92.629454,201,Aonyx Cinereus 
Defecating Area ,27.032538,92.630256,200,Aonyx Cinereus 
Defecating Area ,27.032555,92.63049,202,Aonyx Cinereus 
Defecating Area ,27.03247,92.630872,223,Aonyx Cinereus 
Defecating Area ,27.033743,92.631249,214,Aonyx Cinereus 
Defecating Area ,27.04144,92.666861,183,Aonyx Cinereus 
Defecating Area ,27.043231,92.666297,180,Aonyx Cinereus 
Defecating Area ,27.04513,92.662573,185,Aonyx Cinereus 
Defecating Area ,27.045943,92.66253,194,Aonyx Cinereus 
Defecating Area ,27.046979,92.662142,193,Aonyx Cinereus 
Defecating Area ,27.048718,92.661893,209,Aonyx Cinereus 
Defecating Area ,27.049383,92.661909,216,Aonyx Cinereus 
Defecating Area ,27.04953,92.661859,216,Aonyx Cinereus 
Defecating Area ,27.050503,92.660944,207,Aonyx Cinereus 
Spraint ,27.050668,92.660889,209,Aonyx Cinereus 
Defecating Area ,27.050853,92.660842,211,Aonyx Cinereus 
Defecating Area ,27.049645,92.657668,226,Aonyx Cinereus 
Defecating Area ,27.0496,92.657511,226,Aonyx Cinereus 
Defecating Area ,27.04958,92.657223,227,Aonyx Cinereus 
Otter CT Pakke,27.0450116,92.7696353,,
